ancho_cm,largo_m,peso_g_m2,proveedor,cubre_cierre,talla_prenda,prendas_totales
120,54.4,200,A,0,3,76
150,104.6,200,A,1,3,138
150,138.5,110,A,1,3,156
160,135.1,280,A,1,3,163
160,128.8,280,A,1,3,153
120,23.3,240,A,0,3,44
140,42.1,130,A,0,3,74
160,111.8,160,A,0,3,130
120,84.5,160,A,0,3,117
150,31.3,160,A,1,3,68
120,134.8,240,A,0,3,145
160,83.5,200,A,0,3,106
140,98.9,160,A,0,3,120
140,78.9,130,A,1,3,102
120,105.2,240,A,0,3,116
140,37.8,160,A,0,3,66
150,131.5,200,A,1,3,153
140,107.7,160,A,0,3,116
150,64.9,130,A,1,3,96
120,78.2,200,A,1,3,101
120,106.5,160,A,1,3,115
150,148.5,280,A,0,3,155
150,65.6,160,A,0,3,90
140,55.8,130,A,0,3,92
120,138.4,130,A,1,3,148
140,119.6,240,A,0,3,138
120,35.5,280,A,0,3,62
140,66.1,240,A,0,3,89
150,141.8,160,A,0,3,159
140,141.0,280,A,1,3,159
120,34.4,160,A,0,3,51
140,66.2,130,A,1,3,99
150,64.6,130,A,0,3,94
120,128.2,160,A,0,3,136
120,36.2,160,A,1,3,72
150,117.4,110,A,1,3,146
150,135.7,130,A,0,3,159
150,99.1,160,A,0,3,113
160,44.7,130,A,1,3,77
120,57.2,240,A,1,3,74
160,70.1,160,A,1,3,107
150,39.0,200,A,1,3,73
140,148.2,200,A,0,3,157
160,77.5,160,A,1,3,121
140,45.5,130,A,0,3,89
140,71.8,200,A,0,3,88
140,57.2,110,A,0,3,83
140,113.3,160,A,1,3,132
150,111.6,110,A,1,3,139
140,34.5,90,A,0,3,62
140,37.1,240,A,0,3,70
140,146.5,160,A,1,3,162
120,143.8,160,A,1,3,145
150,84.8,200,A,0,3,111
150,142.5,130,A,0,3,157
160,80.9,200,A,0,3,111
120,140.6,110,A,0,3,130
120,109.6,200,A,0,3,113
150,90.5,200,A,0,3,116
140,82.6,200,A,0,3,108
140,77.9,160,A,0,3,95
160,134.5,160,A,0,3,162
120,51.3,130,A,0,3,80
140,34.7,200,A,0,3,77
140,48.8,130,A,1,3,76
160,130.7,200,A,0,3,139
140,83.1,160,A,1,3,111
160,95.3,160,A,1,3,133
150,26.0,200,A,0,3,61
150,134.0,160,A,1,3,154
140,105.5,160,A,0,3,128
150,27.8,130,A,0,3,75
150,147.7,200,A,0,3,162
120,110.5,160,A,1,3,123
140,62.7,320,A,0,3,94
140,107.8,160,A,0,3,129
140,33.6,320,A,0,3,66
160,114.9,160,A,0,3,132
140,28.4,200,A,0,3,71
150,121.6,320,A,1,3,140
140,142.7,130,A,0,3,161
150,71.8,240,A,0,3,93
150,129.0,200,A,0,3,160
140,98.5,160,A,0,3,115
160,94.3,160,A,1,3,136
140,34.6,200,A,0,3,73
140,102.2,130,A,0,3,123
140,35.7,160,A,1,3,82
140,144.6,200,A,0,3,157
160,87.8,160,A,0,3,121
150,87.1,160,A,0,3,120
160,118.2,160,A,0,3,138
150,132.5,240,A,0,3,156
150,26.0,130,A,1,3,71
160,62.1,160,A,1,3,104
140,125.7,130,A,0,3,142
150,71.5,200,A,0,3,97
120,67.9,110,A,0,3,99
150,98.3,200,A,1,3,128
150,120.0,200,A,0,3,141
140,33.0,110,A,1,3,76
140,85.2,160,A,0,3,107
150,83.0,160,A,0,3,115
120,96.6,90,A,0,3,122
120,105.0,200,A,0,3,124
120,35.6,160,A,1,3,82
140,107.5,110,A,0,3,136
120,128.2,280,A,0,3,140
160,89.7,200,A,0,3,118
160,77.2,110,A,0,3,106
140,142.9,160,A,0,3,149
150,125.8,280,A,0,3,134
160,126.6,160,A,0,3,139
150,53.4,160,A,0,3,88
150,86.1,160,A,0,3,122
140,87.7,110,A,0,3,119
150,90.1,130,A,0,3,125
150,61.0,240,A,1,3,92
150,107.4,240,A,0,3,121
150,118.6,200,A,1,3,143
150,49.3,240,A,0,3,73
120,121.7,160,A,1,3,139
150,143.0,90,A,0,3,178
140,33.3,200,A,0,3,77
160,99.0,200,A,0,3,119
160,28.8,200,A,0,3,77
150,101.3,240,A,0,3,129
120,145.8,160,A,0,3,160
120,35.7,200,A,1,3,74
120,59.3,90,A,0,3,80
140,85.1,280,A,0,3,97
150,122.3,130,A,0,3,139
120,38.3,240,A,1,3,67
140,44.7,110,A,0,3,70
160,28.8,200,A,0,3,69
150,32.9,130,A,0,3,78
150,27.7,160,A,1,3,77
150,72.1,160,A,0,3,106
140,42.6,240,A,1,3,82
120,133.0,90,A,1,3,149
140,126.7,200,A,0,3,140
150,119.2,130,A,0,3,141
140,126.2,200,A,0,3,141
140,61.3,160,A,0,3,93
150,96.5,280,A,0,3,122
120,63.4,160,A,0,3,89
150,21.5,90,A,0,3,60
120,115.3,280,A,0,3,131
140,109.8,90,A,0,3,123
120,30.6,110,A,0,3,61
160,119.1,160,A,0,3,148
150,52.7,160,A,1,3,93
140,51.2,130,A,0,3,77
150,54.9,160,A,1,3,92
120,113.7,130,A,1,3,132
140,32.5,90,A,0,3,81
140,60.2,110,A,0,3,97
150,138.7,240,A,0,3,147
150,114.5,240,A,0,3,134
140,149.5,90,A,1,3,156
120,29.6,200,A,0,3,64
150,90.0,200,A,1,3,127
120,44.3,200,A,0,3,74
140,65.8,200,A,0,3,97
150,70.8,130,A,0,3,91
160,89.2,160,A,0,3,125
120,92.7,200,A,1,3,106
150,57.2,110,A,0,3,92
150,135.7,90,A,1,3,147
140,129.4,200,A,0,3,145
150,69.5,130,A,1,3,109
140,43.2,130,A,0,3,70
150,53.0,200,A,0,3,96
140,116.2,130,A,0,3,120
120,24.5,240,A,1,3,61
160,95.9,130,A,0,3,121
150,39.6,240,A,0,3,74
140,43.5,240,A,1,3,75
140,53.5,160,A,1,3,86
150,42.9,160,A,0,3,84
120,67.4,200,A,0,3,99
140,25.6,160,A,1,3,62
120,105.3,160,A,0,3,127
150,53.2,130,A,0,3,88
120,117.4,240,A,0,3,135
150,99.1,160,A,0,3,125
120,92.3,130,A,0,3,119
120,28.9,160,A,0,3,60
150,80.3,160,A,0,3,113
140,139.4,130,A,0,3,148
150,23.6,130,A,0,3,68
150,28.0,160,A,0,3,66
160,79.2,130,A,0,3,111
150,117.0,200,A,1,3,139
140,106.5,240,A,0,3,128
120,68.8,160,A,1,3,91
150,40.1,160,A,0,3,83
150,146.2,200,A,0,3,158
150,38.7,160,A,0,3,84
150,129.1,110,A,1,3,154
150,118.6,130,A,0,3,134
150,108.0,240,A,1,3,129
160,74.8,200,A,0,3,114
150,135.9,200,A,0,3,149
150,89.3,90,A,1,3,120
140,137.0,90,A,0,3,160
150,145.0,240,A,0,3,162
140,84.8,280,A,0,3,106
120,27.8,110,A,0,3,51
140,84.9,160,A,0,3,107
120,74.7,160,A,0,3,95
120,111.9,240,A,1,3,124
160,78.2,160,A,0,3,106
140,129.8,160,A,1,3,146
140,149.0,130,A,0,3,145
120,106.9,160,A,0,3,115
150,75.3,240,A,0,3,106
150,30.9,130,A,1,3,77
140,110.1,130,A,0,3,127
160,130.5,200,A,0,3,153
150,24.6,160,A,1,3,69
150,141.3,90,A,1,3,164
160,88.0,200,A,1,3,121
120,72.4,160,A,0,3,89
120,111.1,240,A,0,3,125
140,146.4,200,A,0,3,162
140,133.1,200,A,0,3,156
140,112.7,130,A,0,3,139
140,83.1,240,A,0,3,112
140,104.8,110,A,1,3,121
150,43.9,240,A,0,3,78
150,62.5,200,A,0,3,105
160,140.0,130,A,0,3,161
140,128.3,160,A,0,3,146
150,119.6,90,A,0,3,136
140,139.0,160,A,1,3,157
150,61.6,240,A,1,3,96
140,89.1,320,A,0,3,116
140,30.1,160,A,1,3,78
150,105.6,130,A,0,3,135
140,43.0,200,A,0,3,67
150,125.7,160,A,1,3,143
120,108.9,110,A,0,3,124
140,129.3,130,A,0,3,143
140,31.7,240,A,0,3,64
150,58.3,160,A,1,3,98
120,75.2,130,A,1,3,93
150,26.6,320,A,0,3,55
120,82.4,90,A,0,3,109
150,28.2,110,A,0,3,74
150,117.5,160,A,1,3,143
150,106.0,110,A,1,3,129
120,51.9,90,A,0,3,78
150,75.8,110,A,1,3,106
150,98.4,200,A,0,3,127
160,51.2,130,A,0,3,85
160,102.4,90,A,0,3,138
120,60.2,240,A,1,3,83
120,130.1,160,A,0,3,140
120,105.6,200,A,0,3,116
150,31.7,200,A,0,3,72
140,60.0,200,A,0,3,77
160,125.1,160,A,0,3,144
140,122.7,110,A,1,3,152
120,80.6,110,A,1,3,101
140,47.4,90,A,0,3,85
150,114.4,110,A,1,3,135
140,115.1,200,A,1,3,142
140,126.7,110,A,0,3,136
140,99.1,130,A,0,3,123
140,86.0,130,A,0,3,112
120,101.5,90,A,0,3,120
160,95.4,200,A,0,3,128
140,45.1,200,A,0,3,80
150,99.2,240,A,0,3,123
140,101.9,200,A,0,3,120
150,25.9,90,A,0,3,71
120,72.3,130,A,0,3,90
120,137.1,160,A,0,3,146
150,92.4,160,A,0,3,116
120,83.8,160,A,0,3,110
150,71.9,160,A,1,3,105
150,134.0,160,A,0,3,141
120,37.7,200,A,0,3,73
150,102.6,280,A,1,3,124
140,79.9,200,A,1,3,97
140,86.4,320,A,0,3,113
150,110.0,200,A,1,3,123
150,71.7,160,A,0,3,99
150,70.5,90,A,0,3,114
140,72.0,90,A,1,3,100
140,125.0,200,A,0,3,140
160,118.1,160,A,0,3,142
160,120.1,200,A,1,3,141
140,122.2,200,A,0,3,138
140,54.2,240,A,0,3,79
150,135.3,160,A,0,3,158
150,115.0,130,A,1,3,140
140,145.8,240,A,0,3,157
120,20.6,130,A,1,3,64
160,59.9,200,A,0,3,101
160,98.1,130,A,1,3,128
120,57.6,160,A,1,3,78
140,84.8,160,A,1,3,112
140,77.2,130,A,0,3,107
160,99.0,130,A,1,3,126
150,129.2,160,A,1,3,144
120,74.3,240,A,0,3,91
120,144.2,110,A,0,3,151
160,119.8,280,A,1,3,145
160,66.8,160,A,1,3,107
150,77.6,160,A,1,3,109
150,22.9,90,A,0,3,67
160,133.1,160,A,0,3,157
120,136.3,240,A,0,3,148
150,105.3,110,A,0,3,127
150,30.0,130,A,0,3,74
160,104.7,160,A,0,3,134
150,46.2,160,A,0,3,91
140,48.2,160,A,1,3,88
160,44.4,240,A,1,3,86
140,132.2,90,A,1,3,147
120,31.3,160,A,0,3,68
150,75.1,90,A,0,3,113
120,96.3,90,A,0,3,113
150,49.6,200,A,0,3,80
150,80.6,200,A,0,3,98
150,91.3,200,A,0,3,115
150,142.7,280,A,1,3,157
150,149.7,280,A,0,3,165
120,46.8,110,A,0,3,76
140,24.5,240,A,0,3,58
150,78.7,160,A,0,3,114
140,23.9,110,A,1,3,62
160,127.2,160,A,1,3,148
140,131.6,280,A,0,3,146
120,60.9,200,A,0,3,75
160,67.0,240,A,0,3,98
150,114.2,160,A,0,3,131
140,126.5,280,A,1,3,155
160,94.8,130,A,0,3,117
120,32.6,200,A,0,3,64
140,33.0,110,A,1,3,63
140,90.5,110,A,1,3,127
140,72.1,160,A,0,3,98
140,86.4,240,A,0,3,111
150,92.4,110,A,1,3,119
120,110.1,240,A,1,3,120
120,24.1,280,A,1,3,56
140,57.1,200,A,0,3,97
140,149.7,90,A,0,3,155
150,126.6,160,A,0,3,149
150,115.1,160,A,0,3,137
120,126.7,130,A,0,3,131
160,105.0,110,A,0,3,126
120,55.0,130,A,0,3,83
140,66.3,240,A,0,3,89
140,97.6,240,A,0,3,108
150,57.9,110,A,0,3,100
160,123.6,320,A,0,3,135
140,77.6,240,A,0,3,100
140,108.0,90,A,0,3,128
140,20.5,160,A,0,3,57
140,132.9,130,A,0,3,154
120,127.9,160,A,1,3,141
160,52.1,110,A,1,3,89
140,108.8,130,A,0,3,127
120,147.0,320,A,1,3,144
150,104.5,280,A,1,3,132
140,64.9,90,A,1,3,97
140,20.8,280,A,0,3,49
120,30.8,130,A,0,3,62
150,125.1,110,A,0,3,140
160,31.6,280,A,0,3,72
120,120.6,110,A,0,3,134
160,50.1,280,A,0,3,90
160,52.6,110,A,0,3,91
140,27.8,130,A,0,3,69
140,29.4,130,A,1,3,64
150,134.9,130,A,0,3,155
140,63.5,240,A,0,3,92
150,122.8,130,A,0,3,139
140,28.6,110,A,0,3,70
150,146.9,200,A,1,3,165
160,60.6,110,A,0,3,113
140,110.5,200,A,0,3,130
160,124.6,110,A,0,3,156
150,40.9,240,A,0,3,87
160,72.2,200,A,1,3,110
150,84.2,240,A,1,3,122
120,101.1,240,A,0,3,110
150,89.2,160,A,0,3,120
150,75.6,200,A,0,3,107
150,147.7,200,A,0,3,165
150,138.7,130,A,0,3,162
140,57.2,200,A,0,3,87
150,57.9,240,A,0,3,96
120,123.7,130,A,0,3,137
150,116.0,240,A,0,3,137
120,27.6,240,A,0,3,57
140,91.6,130,A,0,3,126
150,92.3,160,A,0,3,122
160,76.3,280,A,1,3,109
140,39.8,90,A,1,3,76
150,112.4,200,A,0,3,130
150,79.0,200,A,0,3,99
150,33.7,280,A,0,3,66
120,72.7,200,A,0,3,96
140,52.0,110,A,0,3,93
120,115.6,200,A,1,3,136
140,122.2,160,A,0,3,144
120,24.8,90,A,0,3,59
120,24.4,110,A,0,3,67
140,105.7,160,A,1,3,130
150,24.3,110,A,1,3,60
140,138.0,160,A,0,3,157
150,123.0,280,A,0,3,146
140,133.2,90,A,0,3,138
150,39.2,110,A,0,3,71
150,58.4,130,A,0,3,90
140,94.7,240,A,0,3,117
150,23.4,160,A,0,3,66
120,22.4,160,A,1,3,56
140,91.8,90,A,0,3,117
140,30.6,160,A,0,3,68
140,86.5,160,A,0,3,121
150,84.4,130,A,0,3,118
140,47.3,160,A,0,3,73
160,69.7,240,A,0,3,100
120,77.3,200,A,0,3,102
120,56.5,160,A,0,3,80
150,94.4,110,A,0,3,123
140,73.2,130,A,0,3,100
160,89.1,160,A,0,3,111
150,89.6,110,A,0,3,124
120,67.8,320,A,0,3,92
120,148.0,200,A,0,3,158
140,130.6,160,A,0,3,153
150,95.0,200,A,0,3,122
120,28.4,130,A,1,3,60
140,84.8,110,A,0,3,111
120,48.8,90,A,0,3,82
120,76.0,90,A,0,3,91
140,142.8,320,A,0,3,158
140,80.0,200,A,0,3,105
160,143.5,280,A,1,3,163
120,29.6,160,A,0,3,53
140,91.6,160,A,0,3,113
150,80.1,160,A,1,3,108
140,123.8,90,A,0,3,148
150,149.8,200,A,1,3,165
140,61.6,160,A,0,3,83
150,24.0,160,A,1,3,64
160,102.3,280,A,0,3,125
160,78.9,110,A,0,3,116
140,75.2,160,A,1,3,104
150,91.0,110,A,1,3,119
140,139.6,130,A,0,3,149
140,22.1,160,A,1,3,63
150,68.4,110,A,0,3,108
120,39.7,90,A,0,3,67
150,75.8,200,A,0,3,100
120,110.5,160,A,0,3,134
140,39.2,160,A,0,3,80
120,131.4,160,A,0,3,132
150,83.5,110,A,1,3,102
150,122.7,160,A,0,3,143
120,114.0,160,A,0,3,128
140,57.5,110,A,0,3,96
140,118.7,130,A,0,3,145
120,129.4,130,A,0,3,134
150,41.7,200,A,1,3,85
140,102.8,130,A,0,3,124
140,146.5,240,A,0,3,165
120,78.2,90,A,0,3,93
140,64.5,110,A,1,3,88
150,71.9,160,A,0,3,104
150,46.5,160,A,1,3,85
140,127.3,160,A,0,3,142
160,74.2,110,A,1,3,113
140,50.5,160,A,1,3,88
140,20.7,240,A,0,3,63
120,124.2,280,A,1,3,135
150,36.9,280,A,1,3,75
160,89.3,160,A,0,3,114
140,142.8,160,A,0,3,155
140,99.3,200,A,1,3,124
150,120.9,160,A,0,3,139
160,86.0,160,A,1,3,121
150,31.3,130,A,1,3,81
140,56.9,240,A,0,3,88
120,32.0,130,A,0,3,64
120,71.1,110,A,0,3,102
120,80.4,110,A,0,3,96
140,130.8,200,A,0,3,157
140,129.6,110,A,0,3,149
120,56.3,200,A,0,3,88
140,74.6,200,A,1,3,96
140,135.1,110,A,1,3,150
150,24.7,160,A,1,3,59
140,61.2,110,A,0,3,91
140,24.1,110,A,0,3,58
150,88.3,130,A,1,3,114
120,99.6,280,A,0,3,118
140,121.4,90,A,1,3,140
120,135.9,200,A,1,3,149
150,78.6,320,A,0,3,107
140,68.7,200,A,0,3,103
160,57.6,280,A,1,3,93
120,141.9,200,A,0,3,152
150,61.9,130,A,1,3,110
140,81.5,90,A,1,3,114
140,31.1,110,A,0,3,75
150,22.9,130,A,0,3,71
160,124.0,110,A,1,3,152
140,69.2,200,A,1,3,104
160,81.0,130,A,0,3,115
140,58.8,200,A,0,3,95
150,135.8,160,A,1,3,148
120,24.5,130,A,1,3,66
160,52.2,130,A,1,3,97
140,39.7,130,A,0,3,72
150,97.7,160,A,0,3,138
140,124.1,200,A,0,3,137
120,147.6,240,A,1,3,161
150,40.8,280,A,0,3,84
120,89.8,90,A,1,3,118
150,149.8,200,A,0,3,162
160,85.3,160,A,1,3,115
120,62.2,160,A,0,3,72
150,128.0,160,A,1,3,156
140,116.2,130,A,0,3,142
140,75.9,130,A,0,3,101
120,109.0,160,A,0,3,117
150,22.9,160,A,0,3,57
150,92.2,90,A,1,3,128
140,48.0,160,A,0,3,91
140,21.0,200,A,1,3,58
160,117.5,280,A,1,3,139
120,105.9,200,A,1,3,116
120,101.8,280,A,0,3,113
120,57.2,240,A,1,3,88
120,80.2,90,A,0,3,96
150,109.5,280,A,0,3,140
150,96.1,130,A,0,3,136
120,122.0,160,A,1,3,140
120,54.5,160,A,0,3,79
150,141.8,160,A,0,3,164
150,24.6,90,A,1,3,69
140,82.1,320,A,1,3,117
120,49.1,200,A,0,3,75
150,105.2,200,A,1,3,125
150,126.4,200,A,0,3,133
140,141.7,240,A,0,3,156
160,24.5,90,A,0,3,79
120,29.0,130,A,0,3,53
120,98.3,200,A,0,3,100
150,99.6,90,A,0,3,125
140,90.0,240,A,0,3,112
150,63.6,130,A,0,3,103
120,142.7,160,A,0,3,146
160,122.3,160,A,1,3,147
160,103.8,160,A,0,3,131
140,139.6,200,A,0,3,144
160,27.9,160,A,0,3,69
160,79.4,200,A,0,3,110
150,113.1,280,A,1,3,130
150,119.0,160,A,0,3,140
160,29.8,90,A,1,3,74
120,50.7,90,A,1,3,85
150,44.7,110,A,0,3,77
150,127.4,200,A,0,3,150
120,122.5,160,A,1,3,139
150,128.5,90,A,0,3,145
120,38.4,160,A,0,3,61
140,72.1,200,A,1,3,100
140,22.0,160,A,0,3,61
140,109.0,110,A,0,3,146
120,66.2,160,A,1,3,100
140,92.3,90,A,0,3,134
140,103.3,240,A,0,3,124
140,88.9,130,A,0,3,111
150,28.1,160,A,0,3,65
160,116.7,130,A,1,3,139
120,115.4,160,A,0,3,127
160,27.0,110,A,0,3,64
150,138.7,200,A,1,3,160
150,142.0,200,A,0,3,158
120,95.9,200,A,1,3,104
160,140.4,200,A,0,3,154
120,32.7,110,A,0,3,61
140,137.9,90,A,1,3,155
160,94.9,200,A,0,3,120
140,47.6,240,A,0,3,78
150,40.2,280,A,0,3,82
120,141.3,90,A,0,3,151
150,63.8,90,A,1,3,103
140,31.9,160,A,0,3,64
150,91.8,280,A,0,3,120
140,51.2,200,A,1,3,84
160,21.5,110,A,0,3,56
150,104.8,280,A,0,3,119
160,28.6,160,A,0,3,73
140,26.3,200,A,0,3,55
160,58.7,130,A,0,3,109
140,41.1,110,A,0,3,72
140,118.6,200,A,1,3,143
140,113.1,110,A,0,3,132
140,93.7,200,A,0,3,127
160,67.5,90,A,1,3,102
150,103.4,160,A,0,3,135
140,67.9,110,A,1,3,88
120,30.0,240,A,0,3,60
150,132.2,200,A,1,3,156
150,140.3,240,A,0,3,154
120,93.1,160,A,0,3,111
150,33.7,130,A,0,3,77
140,34.3,160,A,1,3,67
140,138.3,200,A,0,3,154
160,93.5,90,A,1,3,130
140,57.7,90,A,0,3,93
120,63.0,320,A,0,3,87
140,21.9,200,A,1,3,73
140,28.7,160,A,0,3,67
150,42.1,90,A,0,3,77
150,55.4,160,A,0,3,99
140,21.2,130,A,1,3,59
150,44.9,160,A,0,3,73
150,121.3,200,A,0,3,144
150,80.5,110,A,1,3,118
150,147.2,160,A,0,3,155
120,46.5,130,A,0,3,66
140,31.1,160,A,1,3,68
140,31.9,130,A,0,3,76
140,149.4,200,A,0,3,147
140,69.4,240,A,1,3,94
140,81.4,320,A,1,3,107
120,98.3,200,A,0,3,131
160,94.0,130,A,0,3,118
150,85.9,200,A,1,3,109
140,86.9,130,A,0,3,114
150,138.1,110,A,0,3,160
120,97.7,160,A,0,3,117
150,92.8,160,A,0,3,120
160,23.6,200,A,1,3,70
150,76.4,160,A,0,3,106
150,60.5,160,A,0,3,95
140,104.9,160,A,0,3,125
150,44.2,200,A,0,3,81
120,127.2,200,A,0,3,146
150,107.1,90,A,0,3,130
140,148.4,280,A,0,3,165
140,52.1,160,A,1,3,84
120,142.4,130,A,0,3,142
120,137.5,240,A,1,3,146
160,58.0,160,A,0,3,90
120,119.6,200,A,1,3,133
140,70.1,240,A,0,3,85
140,55.2,200,A,1,3,92
150,34.5,200,A,0,3,77
160,38.5,240,A,0,3,76
150,90.2,160,A,0,3,114
160,99.2,280,A,0,3,121
160,82.3,160,A,0,3,116
140,128.9,160,A,0,3,152
150,51.3,240,A,0,3,82
150,148.1,160,A,0,3,156
160,124.7,200,A,1,3,157
160,32.2,90,A,0,3,74
140,126.8,160,A,0,3,149
140,91.2,280,A,0,3,116
140,62.2,160,A,0,3,90
120,21.0,200,A,0,3,58
140,143.8,160,A,0,3,165
140,34.3,110,A,0,3,76
150,56.1,200,A,0,3,93
150,89.5,200,A,0,3,118
150,36.2,110,A,1,3,77
120,68.8,240,A,0,3,99
160,117.2,280,A,1,3,145
120,108.8,240,A,0,3,122
120,29.1,200,A,1,3,60
160,42.8,200,A,0,3,86
160,109.1,200,A,0,3,133
150,136.6,130,A,1,3,156
160,110.6,160,A,1,3,139
140,49.6,280,A,0,3,92
150,118.0,110,A,0,3,141
160,146.9,240,A,0,3,163
120,120.1,280,A,0,3,126
120,143.4,240,A,0,3,147
140,134.2,90,A,0,3,151
140,37.0,160,A,0,3,67
150,82.3,90,A,0,3,103
140,82.2,240,A,0,3,106
140,99.4,110,A,0,3,120
150,37.0,240,A,1,3,76
160,49.1,200,A,1,3,81
140,112.6,130,A,1,3,138
140,92.3,160,A,0,3,114
150,50.0,160,A,0,3,77
160,135.6,90,A,0,3,164
160,31.6,160,A,0,3,76
150,58.0,280,A,1,3,89
150,26.4,130,A,0,3,65
160,68.5,200,A,0,3,105
150,25.2,240,A,0,3,64
160,104.2,110,A,1,3,144
140,53.5,240,A,0,3,78
150,42.9,240,A,1,3,89
150,86.2,160,A,0,3,110
120,59.1,160,A,0,3,91
120,139.6,240,A,0,3,143
120,62.7,160,A,0,3,78
140,112.4,160,A,0,3,128
160,77.6,160,A,1,3,115
160,60.6,90,A,1,3,98
120,43.4,200,A,0,3,66
150,144.9,160,A,0,3,163
120,23.3,160,A,1,3,57
120,126.4,130,A,0,3,141
140,107.5,160,A,1,3,134
140,49.9,110,A,1,3,81
140,39.0,90,A,0,3,82
150,97.2,130,A,0,3,116
120,57.5,200,A,0,3,78
150,70.6,110,A,0,3,107
140,98.7,240,A,1,3,123
150,108.7,160,A,0,3,138
120,134.1,90,A,0,3,147
160,29.6,240,A,1,3,71
140,75.7,160,A,0,3,108
150,56.1,200,A,0,3,85
150,140.4,110,A,0,3,151
140,66.9,160,A,0,3,92
150,113.4,200,A,0,3,144
140,60.5,160,A,0,3,95
120,93.9,240,A,0,3,106
140,79.5,160,A,0,3,92
140,148.3,200,A,1,3,162
150,20.2,110,A,0,3,66
140,27.4,200,A,0,3,58
160,28.7,200,A,0,3,67
140,80.1,200,A,0,3,108
150,39.3,90,A,0,3,77
160,117.8,110,A,0,3,139
120,29.3,240,A,0,3,55
140,88.9,90,A,0,3,115
120,68.4,90,A,1,3,81
150,123.2,160,A,0,3,146
140,138.8,160,A,1,3,156
120,59.9,130,A,1,3,92
140,123.9,240,A,0,3,143
120,40.7,160,A,0,3,67
160,98.7,160,A,0,3,131
140,97.4,130,A,0,3,128
120,66.3,130,A,0,3,87
140,142.3,110,A,0,3,162
120,119.0,240,A,0,3,128
120,117.9,160,A,0,3,127
160,58.9,160,A,0,3,91
140,141.6,200,A,1,3,165
160,106.7,130,A,1,3,131
120,140.8,160,A,0,3,146
120,127.6,160,A,0,3,132
150,26.6,200,A,0,3,63
150,38.7,320,A,1,3,89
160,97.6,110,A,0,3,130
140,135.5,200,A,1,3,159
120,138.6,90,A,0,3,145
160,114.9,110,A,1,3,145
150,111.2,280,A,0,3,130
140,105.3,160,A,0,3,124
140,69.5,200,A,1,3,103
140,125.0,110,A,0,3,139
140,134.1,240,A,1,3,149
120,52.4,200,A,0,3,77
150,105.3,240,A,0,3,123
160,72.1,130,A,0,3,107
150,48.9,160,A,0,3,88
140,36.3,130,A,1,3,75
140,72.7,240,A,0,3,99
160,43.7,200,A,0,3,79
140,43.8,280,A,0,3,79
140,116.7,110,A,0,3,128
160,58.0,130,A,0,3,92
150,122.9,90,A,0,3,146
150,22.0,160,A,0,3,67
150,54.2,90,A,0,3,97
160,132.8,160,A,0,3,150
140,132.8,130,A,0,3,152
150,74.1,110,A,0,3,105
140,120.2,160,A,1,3,142
140,88.0,160,A,1,3,108
140,22.7,200,A,1,3,55
150,38.1,160,A,1,3,79
120,67.6,200,A,0,3,92
150,81.9,130,A,0,3,123
150,148.5,160,B,1,1,189
160,33.5,90,B,0,1,83
150,69.8,240,B,0,1,118
150,86.1,130,B,1,1,134
160,86.8,240,B,0,1,142
140,131.4,160,B,0,1,171
120,92.5,110,B,0,1,120
140,115.4,130,B,0,1,159
120,41.1,200,B,1,1,76
120,116.9,130,B,0,1,151
150,53.9,160,B,0,1,103
120,87.4,130,B,0,1,115
150,89.2,160,B,1,1,137
150,120.3,320,B,1,1,162
120,64.2,200,B,1,1,99
120,38.4,280,B,1,1,81
160,52.8,240,B,0,1,97
150,89.4,160,B,0,1,132
140,97.1,160,B,0,1,135
140,94.6,200,B,0,1,139
140,50.5,160,B,1,1,111
160,31.1,200,B,1,1,75
140,104.8,200,B,0,1,147
160,136.1,130,B,0,1,176
150,143.3,280,B,1,1,184
120,68.6,130,B,0,1,106
120,94.3,160,B,0,1,136
140,68.1,130,B,0,1,113
150,117.4,160,B,1,1,150
140,112.4,130,B,0,1,159
160,21.5,160,B,0,1,74
140,103.1,200,B,0,1,140
140,62.5,110,B,0,1,114
150,89.2,130,B,0,1,132
120,60.3,240,B,0,1,100
160,70.4,200,B,0,1,115
140,126.5,160,B,0,1,173
120,116.7,200,B,1,1,159
160,28.4,90,B,0,1,87
120,30.5,200,B,1,1,71
150,38.5,280,B,0,1,85
140,124.8,110,B,1,1,162
160,115.0,160,B,0,1,161
150,49.2,90,B,0,1,110
150,140.9,130,B,0,1,184
150,88.7,200,B,0,1,141
150,114.4,200,B,1,1,157
120,136.7,320,B,0,1,157
120,103.9,280,B,1,1,132
160,139.5,110,B,0,1,196
150,71.9,200,B,0,1,114
150,119.9,130,B,0,1,162
160,98.9,130,B,1,1,150
160,78.5,90,B,0,1,132
150,81.9,90,B,0,1,127
140,108.4,160,B,1,1,150
140,34.7,110,B,0,1,81
150,94.0,90,B,1,1,136
150,39.7,160,B,0,1,90
150,97.6,110,B,0,1,160
150,113.8,280,B,0,1,155
140,127.3,200,B,1,1,162
150,57.4,90,B,0,1,109
150,130.9,110,B,0,1,170
120,25.4,160,B,1,1,75
140,121.1,240,B,1,1,164
120,131.4,240,B,0,1,162
140,61.1,130,B,0,1,104
140,75.5,200,B,0,1,122
140,24.0,110,B,1,1,76
150,114.3,200,B,0,1,160
150,115.5,90,B,0,1,161
140,137.5,130,B,1,1,182
140,27.9,200,B,0,1,70
